individual,mut_inROH
BEN_CI15,12.995961
BEN_CI16,24.2731278
BEN_CI18,12.8185718
BEN_CI19,3.3703146
BEN_CI3,15.5871708
BEN_CI4,13.1299735
BEN_CI5,10.0016369
BEN_CI6,14.5137525
BEN_NW10,16.8185672
BEN_NW11,11.9962637
BEN_NW12,17.7081909
BEN_NW13,16.9917085
BEN_NW14,13.6220281
BEN_NW17,12.6287396
BEN_NW18,24.3816818
BEN_NW19,18.5465976
BEN_NW20,8.0706735
BEN_NW24,21.5674633
BEN_NW3,28.7830897
BEN_NW4,21.4340393
BEN_NW5,2.0574271
BEN_NW55,11.4392352
BEN_NW57,3.4278929
BEN_NW6,18.8953488
BEN_NW8,23.7927565
BEN_NW9,22.1389164
BEN_SI1,25.4289544
BEN_SI11,23.5218233
BEN_SI3,25.7965686
BEN_SI6,24.1679667
BEN_SI8,30.6469003
BEN_SI9,21.9196483
ZSB_01,17.5649116
ZSB_02,19.6544439
ZSB_03,23.7096237
ZSB_04,21.5895047
ZSB_05,27.041432
BEN_SI18,25.0249418
BEN_SI19,24.9675746
BEN_NE1,16.180341
BEN_NE2,35.5261264
BEN_NE3,29.1338583
BEN_NOR1,19.0518519
BEN_NOR2,22.7981651
BEN_SI5,44.408675
LGS1,10.620589
