res1,res2,pair,ind1,ind2,roh1,roh2,roh3,roh12,roh23,roh34,ind1roh1,ind1roh2,ind1roh12,ind1roh23,ind1roh3,ind2roh1,ind2roh2,ind2roh12,ind2roh23,ind2roh3
Chandrapur,Corbett,Chandrapur-Corbett,BEN_CI2,BEN_NOR1,203933640,167764351,21440254,36169289,146324097,14769606,674364895,657438378,16926517,229909737,427528641,689133358,592060124,97073234,396388890,195671234
Chandrapur,Corbett,Chandrapur-Corbett,BEN_CI2,BEN_NOR2,263557981,228281474,88010645,35276507,140270829,33730843,674364895,657438378,16926517,229909737,427528641,872604239,770086648,102517591,315997124,454089524
Chandrapur,Kanha,Chandrapur-Kanha,BEN_CI2,BEN_CI15,191857139,153628829,44407663,38228310,109221166,22197615,674364895,657438378,16926517,229909737,427528641,558426844,440368350,118058494,313676252,126692098
Chandrapur,Kanha,Chandrapur-Kanha,BEN_CI2,BEN_CI16,245499155,213782612,66356534,31716543,147426078,31667943,674364895,657438378,16926517,229909737,427528641,941465693,865515372,75950321,260165870,605349502
Chandrapur,Kanha,Chandrapur-Kanha,BEN_CI2,BEN_CI18,169580790,131811271,31496160,37769519,100315111,11522652,674364895,657438378,16926517,229909737,427528641,531335982,416398696,114937286,280261230,136137466
Chandrapur,Kanha,Chandrapur-Kanha,BEN_CI2,BEN_CI19,121659835,80993890,,40665945,80993890,,674364895,657438378,16926517,229909737,427528641,370653731,261143653,109510078,241812071,19331582
Chandrapur,Kanha,Chandrapur-Kanha,BEN_CI2,BEN_CI3,189146057,148283319,42821890,40862738,105461429,19378399,674364895,657438378,16926517,229909737,427528641,399948004,398407865,1540139,114426239,283981626
Chandrapur,Kanha,Chandrapur-Kanha,BEN_CI2,BEN_CI4,179146016,151491193,43292370,27654823,108198823,12285466,674364895,657438378,16926517,229909737,427528641,588039664,506748544,81291120,270707157,236041387
Chandrapur,Kanha,Chandrapur-Kanha,BEN_CI2,BEN_CI5,140327809,111488358,9135719,28839451,102352639,6892178,674364895,657438378,16926517,229909737,427528641,447217937,358814659,88403278,289122614,69692045
Chandrapur,Kanha,Chandrapur-Kanha,BEN_CI2,BEN_CI6,178131395,142577354,32628886,35554041,109948468,20254715,674364895,657438378,16926517,229909737,427528641,558093435,456569955,101523480,304633087,151936868
Chandrapur,Kanha,Chandrapur-Kanha,BEN_CI2,BEN_CI7,211568332,201270189,81006032,10298143,120264157,21198096,674364895,657438378,16926517,229909737,427528641,746271387,730520258,15751129,197580294,532939964
